id,title,price,rating,availability
107,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,Three,In stock
108,First and First (Five Boroughs #3),15.97,Four,In stock
109,Fifty Shades Darker (Fifty Shades #2),21.96,One,In stock
110,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,Two,In stock
111,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,Two,In stock
112,Danganronpa Volume 1,51.99,Four,In stock
113,Crown of Midnight (Throne of Glass #2),43.29,Three,In stock
114,"Codename Baboushka, Volume 1: The Conclave of Death",36.72,Four,In stock
115,Camp Midnight,17.08,Four,In stock
116,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,Five,In stock
117,Burning,28.81,Three,In stock
118,Bossypants,49.46,Two,In stock
119,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,Two,In stock
120,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,Two,In stock
121,The Shadow Hero (The Shadow Hero),33.14,One,In stock
122,The Secret (The Secret #1),27.37,Four,In stock
123,The Regional Office Is Under Attack!,51.36,Five,In stock
124,The Psychopath Test: A Journey Through the Madness Industry,36.0,Two,In stock
125,The Project,10.65,One,In stock
126,The Power of Now: A Guide to Spiritual Enlightenment,43.54,Two,In stock
127,The Omnivore's Dilemma: A Natural History of Four Meals,38.21,Two,In stock
128,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,Five,In stock
129,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,Four,In stock
130,The Mistake (Off-Campus #2),43.29,Three,In stock
131,The Matchmaker's Playbook (Wingmen Inc. #1),55.85,One,In stock
132,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,Two,In stock
133,The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,One,In stock
134,The Kite Runner,41.82,Four,In stock
135,The House by the Lake,36.95,One,In stock
136,The Glittering Court (The Glittering Court #1),44.28,One,In stock
137,The Girl on the Train,55.02,Two,In stock
138,The Genius of Birds,17.24,One,In stock
139,The Emerald Mystery,23.15,Two,In stock
140,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,One,In stock
141,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,Three,In stock
142,The Artist's Way: A Spiritual Path to Higher Creativity,38.49,Five,In stock
143,The Art of War,33.34,Five,In stock
144,The Argonauts,10.93,Two,In stock
145,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,Three,In stock
146,Suddenly in Love (Lake Haven #1),55.99,Two,In stock
147,Something More Than This,16.24,Four,In stock
148,Soft Apocalypse,26.12,Two,In stock
149,So You've Been Publicly Shamed,12.23,Two,In stock
150,Shoe Dog: A Memoir by the Creator of NIKE,23.99,Two,In stock
151,"Shobu Samurai, Project Aryoku (#3)",29.06,Three,In stock
152,Secrets and Lace (Fatal Hearts #1),20.27,One,In stock
153,Scarlett Epstein Hates It Here,43.55,Five,In stock
154,Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,One,In stock
155,Redeeming Love,20.47,Five,In stock
156,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,One,In stock
157,Poems That Make Grown Women Cry,14.19,Four,In stock
158,"Nightingale, Sing",38.28,One,In stock
159,Night Sky with Exit Wounds,41.05,One,In stock
160,Mrs. Houdini,30.25,Five,In stock
161,Algorithms to Live By: The Computer Science of Human Decisions,30.81,One,In stock
162,A World of Flavor: Your Gluten Free Passport,42.95,One,In stock
163,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,Five,In stock
164,A Murder in Time,16.64,One,In stock
165,A Flight of Arrows (The Pathfinders #2),55.53,Five,In stock
166,A Fierce and Subtle Poison,28.13,Four,In stock
167,A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,One,In stock
168,(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,Five,In stock
169,You Are What You Love: The Spiritual Power of Habit,21.87,Four,In stock
170,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,Four,In stock
171,Tuesday Nights in 1980,21.04,Two,In stock
172,Tracing Numbers on a Train,41.6,Three,In stock
173,Throne of Glass (Throne of Glass #1),35.07,Three,In stock
174,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,One,In stock
175,Thirteen Reasons Why,52.72,One,In stock
176,The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,Four,In stock
177,The Wedding Dress,24.12,One,In stock
178,The Vacationers,42.15,Four,In stock
179,The Third Wave: An Entrepreneurâs Vision of the Future,12.61,Five,In stock
180,The Stranger,17.44,Four,In stock
181,Modern Romance,28.26,Five,In stock
182,Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,One,In stock
183,Louisa: The Extraordinary Life of Mrs. Adams,16.85,Two,In stock
184,Little Red,13.47,Three,In stock
185,Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,Five,In stock
186,Large Print Heart of the Pride,19.15,Two,In stock
187,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,Four,In stock
188,Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,One,In stock
189,Grumbles,22.16,Two,In stock
190,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,Four,In stock
191,Frostbite (Vampire Academy #2),29.99,Five,In stock
192,Follow You Home,21.36,One,In stock
193,First Steps for New Christians (Print Edition),29.0,One,In stock
194,Finders Keepers (Bill Hodges Trilogy #2),53.53,Five,In stock
195,"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,Four,In stock
196,Eureka Trivia 6.0,54.59,Four,In stock
197,Drive: The Surprising Truth About What Motivates Us,34.95,Four,In stock
198,Done Rubbed Out (Reightman & Bailey #1),37.72,Five,In stock
199,Doing It Over (Most Likely To #1),35.61,Three,In stock
200,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,Three,In stock
201,Dark Notes,19.19,Five,In stock
202,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,Three,In stock
203,Close to You,49.46,Four,In stock
204,Chasing Heaven: What Dying Taught Me About Living,37.8,Two,In stock
205,Big Magic: Creative Living Beyond Fear,30.8,Three,In stock
206,Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,Two,In stock
207,Beauty Restored (Riley Family Legacy Novellas #3),11.11,Two,In stock
208,Batman: The Long Halloween (Batman),36.5,Two,In stock
209,Batman: The Dark Knight Returns (Batman),15.38,Five,In stock
210,Ayumi's Violin,15.48,Two,In stock
211,Anonymous,46.82,Four,In stock
212,Amy Meets the Saints and Sages,18.46,Three,In stock
213,Amid the Chaos,36.58,One,In stock
214,Amatus,50.54,Five,In stock
215,Agnostic: A Spirited Manifesto,12.51,Five,In stock
216,Zealot: The Life and Times of Jesus of Nazareth,24.7,Three,In stock
217,You (You #1),43.61,Five,In stock
218,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,Four,In stock
219,Wild Swans,14.36,Two,In stock
220,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,Four,In stock
221,Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,Four,In stock
222,What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,Two,In stock
223,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,One,In stock
224,Walt Disney's Alice in Wonderland,12.96,Five,In stock
225,V for Vendetta (V for Vendetta Complete),37.1,Four,In stock
226,Until Friday Night (The Field Party #1),46.31,Two,In stock
227,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,Two,In stock
228,Twenty Yawns,22.08,Two,In stock
229,Through the Woods,25.38,Two,In stock
230,This Is Where It Ends,27.12,Two,In stock
231,The Year of Magical Thinking,43.04,Two,In stock
232,The Wright Brothers,56.8,Four,In stock
233,The White Queen (The Cousins' War #1),25.91,Five,In stock
234,The Wedding Pact (The O'Malleys #2),32.61,Three,In stock
235,The Time Keeper,27.88,Five,In stock
236,The Testament of Mary,52.67,Four,In stock
237,The Star-Touched Queen,46.02,Five,In stock
238,The Songs of the Gods,44.48,Five,In stock
239,The Song of Achilles,37.4,Five,In stock
240,The Rosie Project (Don Tillman #1),54.04,One,In stock
241,Swell: A Year of Waves,45.58,One,In stock
242,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,Five,In stock
243,Still Life with Bread Crumbs,26.41,Three,In stock
244,Steve Jobs,39.5,Five,In stock
245,Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,Four,In stock
246,Someone Like You (The Harrisons #2),52.79,Five,In stock
247,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,Four,In stock
248,Shtum,55.84,Four,In stock
249,See America: A Celebration of Our National Parks & Treasured Sites,48.87,Three,In stock
250,salt.,46.78,Four,In stock
251,Robin War,47.82,Three,In stock
252,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,Two,In stock
253,Rain Fish,23.57,Three,In stock
254,"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,Five,In stock
255,Pet Sematary,10.56,Three,In stock
256,"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,Three,In stock
257,Once Was a Time,18.28,Two,In stock
258,Old School (Diary of a Wimpy Kid #10),11.83,Five,In stock
259,No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,Two,In stock
260,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,Two,In stock
261,My Name Is Lucy Barton,41.56,One,In stock
262,My Mrs. Brown,24.48,Three,In stock
263,My Kind of Crazy,40.36,One,In stock
264,Mr. Mercedes (Bill Hodges Trilogy #1),28.9,One,In stock
265,More Than Music (Chasing the Dream #1),37.61,Two,In stock
266,Made to Stick: Why Some Ideas Survive and Others Die,38.85,Five,In stock
267,Luis Paints the World,53.95,Three,In stock
268,Luckiest Girl Alive,49.83,Three,In stock
269,Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,Two,In stock
270,Love Is a Mix Tape (Music #1),18.03,One,In stock
271,Looking for Lovely: Collecting the Moments that Matter,29.14,Five,In stock
272,"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,Four,In stock
273,Let It Out: A Journey Through Journaling,26.79,Five,In stock
274,Lady Midnight (The Dark Artifices #1),16.28,Five,In stock
275,"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,One,In stock
276,Island of Dragons (Unwanteds #7),29.65,One,In stock
277,I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,Four,In stock
278,I Am Pilgrim (Pilgrim #1),10.6,Four,In stock
279,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,Five,In stock
280,"Hush, Hush (Hush, Hush #1)",47.02,Three,In stock
281,The Power of Habit: Why We Do What We Do in Life and Business,16.88,Three,In stock
282,The Marriage of Opposites,28.08,Four,In stock
283,The Lucifer Effect: Understanding How Good People Turn Evil,10.4,One,In stock
284,The Long Haul (Diary of a Wimpy Kid #9),44.07,One,In stock
285,The Loney,23.4,One,In stock
286,The Literature Book (Big Ideas Simply Explained),17.43,Three,In stock
287,The Last Mile (Amos Decker #2),54.21,Two,In stock
288,The Immortal Life of Henrietta Lacks,40.67,Two,In stock
289,The Hidden Oracle (The Trials of Apollo #1),52.26,Two,In stock
290,The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,Three,In stock
291,The Guilty (Will Robie #4),13.82,Two,In stock
292,The First Hostage (J.B. Collins #2),25.85,Three,In stock
293,The Dovekeepers,48.78,One,In stock
294,The Darkest Lie,35.35,Five,In stock
295,The Bane Chronicles (The Bane Chronicles #1-11),44.73,Four,In stock
296,The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,15.77,One,In stock
297,The 14th Colony (Cotton Malone #11),39.24,One,In stock
298,That Darkness (Gardiner and Renner #1),13.92,One,In stock
299,Tastes Like Fear (DI Marnie Rome #3),10.69,One,In stock
300,Take Me with You,45.21,Three,In stock
301,Code Name Verity (Code Name Verity #1),22.13,Four,In stock
302,Clockwork Angel (The Infernal Devices #1),44.14,One,In stock
303,City of Glass (The Mortal Instruments #3),56.02,Four,In stock
304,City of Fallen Angels (The Mortal Instruments #4),11.23,Four,In stock
305,City of Bones (The Mortal Instruments #1),43.28,One,In stock
306,City of Ashes (The Mortal Instruments #2),47.27,One,In stock
307,Cell,20.29,Four,In stock
308,Catching Jordan (Hundred Oaks),50.83,Three,In stock
309,"Carry On, Warrior: Thoughts on Life Unarmed",31.85,Three,In stock
310,Carrie,46.23,Two,In stock
311,Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,Four,In stock
312,Brain on Fire: My Month of Madness,49.32,Five,In stock
313,Batman: Europa,32.01,Two,In stock
314,Barefoot Contessa Back to Basics,28.01,One,In stock
315,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,Five,In stock
316,Balloon Animals,17.03,Three,In stock
317,Art Ops Vol. 1,48.8,Three,In stock
318,Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,Four,In stock
319,Angels Walking (Angels Walking #1),34.2,Two,In stock
320,Angels & Demons (Robert Langdon #1),51.48,Three,In stock
321,All the Light We Cannot See,29.87,Five,In stock
322,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,Two,In stock
323,Abstract City,56.37,Five,In stock
324,A Time of Torment (Charlie Parker #14),48.35,Five,In stock
325,A Study in Scarlet (Sherlock Holmes #1),16.73,Two,In stock
326,"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,Two,In stock
327,A People's History of the United States,40.79,Two,In stock
328,A Man Called Ove,39.72,One,In stock
329,A Distant Mirror: The Calamitous 14th Century,14.58,Three,In stock
330,A Brush of Wings (Angels Walking #3),55.51,One,In stock
331,1491: New Revelations of the Americas Before Columbus,21.8,Three,In stock
332,"The Three Searches, Meaning, and the Story",13.33,Three,In stock
333,Searching for Meaning in Gailana,38.73,One,In stock
334,Rook,37.86,Four,In stock
335,My Kitchen Year: 136 Recipes That Saved My Life,11.53,Two,In stock
336,13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,One,In stock
337,Will You Won't You Want Me?,13.86,Three,In stock
338,Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,One,In stock
339,The Star-Touched Queen,32.3,Five,In stock
340,The Silent Sister (Riley MacPherson #1),46.29,Five,In stock
341,Hold Your Breath (Search and Rescue #1),28.82,One,In stock
342,Hamilton: The Revolution,58.79,Three,In stock
343,Greek Mythic History,10.23,Five,In stock
344,God: The Most Unpleasant Character in All Fiction,30.03,Five,In stock
345,Glory over Everything: Beyond The Kitchen House,45.84,Three,In stock
346,Feathers: Displays of Brilliant Plumage,49.05,Three,In stock
347,"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,Four,In stock
348,Every Last Word,46.47,Three,In stock
349,Eligible (The Austen Project #4),27.09,Three,In stock
350,El Deafo,57.62,Five,In stock
351,Eight Hundred Grapes,14.39,Four,In stock
352,"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,Five,In stock
353,"Eat Fat, Get Thin",54.07,Two,In stock
354,Don't Get Caught,55.35,One,In stock
355,Doctor Sleep (The Shining #2),40.12,Two,In stock
356,Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,Five,In stock
357,Dear Mr. Knightley,11.21,Five,In stock
358,Daily Fantasy Sports,36.58,One,In stock
359,Crazy Love: Overwhelmed by a Relentless God,47.72,Two,In stock
360,Cometh the Hour (The Clifton Chronicles #6),25.01,Three,In stock
361,Hide Away (Eve Duncan #20),11.84,One,In stock
362,Furiously Happy: A Funny Book About Horrible Things,41.46,Four,In stock
363,Everyday Italian: 125 Simple and Delicious Recipes,20.1,Five,In stock
364,Equal Is Unfair: America's Misguided Fight Against Income Inequality,56.86,One,In stock
365,Eleanor & Park,56.51,Five,In stock
366,Dirty (Dive Bar #1),40.83,Four,In stock
367,Can You Keep a Secret? (Fear Street Relaunch #4),48.64,One,In stock
368,Boar Island (Anna Pigeon #19),59.48,Three,In stock
369,A Paris Apartment,39.01,Four,In stock
370,"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,One,In stock
371,Troublemaker: Surviving Hollywood and Scientology,48.39,Two,In stock
372,The Widow,27.26,Two,In stock
373,"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,Four,In stock
374,The Improbability of Love,59.45,One,In stock
375,The Art of Startup Fundraising,21.0,Three,In stock
376,Take Me Home Tonight (Rock Star Romance #3),53.98,Three,In stock
377,Sleeping Giants (Themis Files #1),48.74,One,In stock
378,"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",21.15,Two,In stock
379,Playing with Fire,13.71,Three,In stock
380,Off the Hook (Fishing for Trouble #1),47.67,Three,In stock
381,The Midnight Watch: A Novel of the Titanic and the Californian,26.2,One,In stock
382,The Lonely City: Adventures in the Art of Being Alone,33.26,Two,In stock
383,The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,Four,In stock
384,The Golden Condom: And Other Essays on Love Lost and Found,39.43,One,In stock
385,The Epidemic (The Program 0.6),14.44,Five,In stock
386,The Dinner Party,56.54,Two,In stock
387,The Diary of a Young Girl,59.9,Three,In stock
388,The Children,11.88,Three,In stock
389,Stars Above (The Lunar Chronicles #4.5),48.05,Two,In stock
390,Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,Three,In stock
391,Raspberry Pi Electronics Projects for the Evil Genius,49.67,Four,In stock
392,Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,One,In stock
393,Psycho: Sanitarium (Psycho #1.5),36.97,Five,In stock
394,Poisonous (Max Revere Novels #3),26.8,Three,In stock
395,One with You (Crossfire #5),15.71,Four,In stock
396,No Love Allowed (Dodge Cove #1),54.65,Four,In stock
397,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,Four,In stock
398,Most Wanted,35.28,Three,In stock
399,"Love, Lies and Spies",20.55,Two,In stock
400,How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,Five,In stock
401,Without Shame,48.27,Five,In stock
402,Watchmen,58.05,Four,In stock
403,Unlimited Intuition Now,58.87,Four,In stock
404,Underlying Notes,11.82,Two,In stock
405,The Shack,28.03,One,In stock
406,The New Brand You: Your New Image Makes the Sale for You,44.05,Five,In stock
407,"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,Four,In stock
408,The Flowers Lied,16.68,Two,In stock
409,"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,One,In stock
410,The Book of Mormon,24.57,Three,In stock
411,The Art and Science of Low Carbohydrate Living,52.98,Five,In stock
412,The Alien Club,54.4,One,In stock
413,Suzie Snowflake: One beautiful flake (a self-esteem story),54.81,Five,In stock
414,Nap-a-Roo,25.08,One,In stock
415,"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,Four,In stock
416,Modern Day Fables,47.44,Two,In stock
417,If I Gave You God's Phone Number....: Searching for Spirituality in America,20.91,One,In stock
418,"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,Four,In stock
419,Dress Your Family in Corduroy and Denim,43.68,Three,In stock
